Xelaev18005088m|tada2b.L
Xelaev18005089m|ccdc96.L
Xelaev18005090m|tbc1d14.L
Xelaev18005091m|kiaa0232.L
Xelaev18005092m|Xelaev18005092m.g
Xelaev18005093m|s100p.L
Xelaev18005094m|Xelaev18005094m.g
Xelaev18005095m|Xelaev18005095m.g
Xelaev18005096m|man2b2.L
Xelaev18005097m|ppp2r2c.L
Xelaev18005098m|wfs1.L
Xelaev18005099m|jakmip1.L
Xelaev18005101m|crmp1.L
Xelaev18005103m|Xelaev18005103m.g
Xelaev18005104m|evc.L
Xelaev18005105m|evc2.L
Xelaev18005106m|Xelaev18005106m.g
Xelaev18005107m|Xelaev18005107m.g
Xelaev18005108m|stk32b.L
Xelaev18005109m|cytl1.L
Xelaev18005110m|Xelaev18005110m.g
Xelaev18005111m|msx1.L
Xelaev18005112m|Xelaev18005112m.g
Xelaev18005113m|Xelaev18005113m.g
Xelaev18005114m|stx18.L
Xelaev18005116m|Xelaev18005116m.g
Xelaev18005117m|nsg1.L
Xelaev18005118m|Xelaev18005118m.g
Xelaev18005119m|zbtb49.L
Xelaev18005120m|Xelaev18005120m.g
Xelaev18005121m|lyar.L
Xelaev18005122m|otop1.L
Xelaev18005123m|LOC100494873.L
Xelaev18005124m|drd5.L
Xelaev18005125m|Xelaev18005125m.g
Xelaev18005126m|slc2a15a.L
Xelaev18005127m|wdr1.L
Xelaev18005128m|znf518b.L
Xelaev18005130m|Xelaev18005130m.g
Xelaev18005131m|hs3st1.L
Xelaev18005132m|Xelaev18005132m.g
Xelaev18005133m|Xelaev18005133m.g
Xelaev18005134m|Xelaev18005134m.g
Xelaev18005135m|rab28.L
Xelaev18005137m|nkx3-2.L
Xelaev18005138m|Xelaev18005138m.g
Xelaev18005139m|bod1l1.L
Xelaev18005140m|cpeb2-like.L
Xelaev18005141m|Xelaev18005141m.g
Xelaev18005142m|c1qtnf7.L
Xelaev18005143m|cc2d2a.L
Xelaev18005144m|fbxl5.L
